batch_size,beat_mask_ms,chunk_count,chunk_seconds,crossfade_seconds,dropout,join_method,model_choice,n_mask_codebooks,num_feedback_steps,num_outputs,onset_mask_width,periodic_p,pitch_shift_amt,preset,run_id,run_number,sample_cutoff,sampletemp,sampling_steps,status,stretch_factor,sweep_label,sweep_param,sweep_value,top_p,typical_filtering,typical_mass,typical_min_tokens
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,001_baseline_default_default_51b317493ca9,1,1.0,1.0,36,ok,1,default,baseline,default,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,3,0,,002_periodic_prompt_low20_3_f4057d90cec4,2,1.0,1.0,36,ok,1,low20,periodic_prompt,3,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,6,0,,003_periodic_prompt_mid50_6_5616ac831224,3,1.0,1.0,36,ok,1,mid50,periodic_prompt,6,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,0,10,0,,004_periodic_prompt_high80_10_396d70bfb5a8,4,1.0,1.0,36,ok,1,high80,periodic_prompt,10,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,20,7,0,,005_onset_mask_width_low20_20_c8a62235878a,5,1.0,1.0,36,ok,1,low20,onset_mask_width,20,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,50,7,0,,006_onset_mask_width_mid50_50_4c7c0d3a3009,6,1.0,1.0,36,ok,1,mid50,onset_mask_width,50,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,3,1,2,80,7,0,,007_onset_mask_width_high80_80_7abc2edd76a1,7,1.0,1.0,36,ok,1,high80,onset_mask_width,80,0.0,True,0.15,64
2,41,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,008_beat_mask_width_low20_41_b258fd9b4391,8,1.0,1.0,36,ok,1,low20,beat_mask_width,41,0.0,True,0.15,64
2,101,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,009_beat_mask_width_mid50_101_74a6fca0ae5b,9,1.0,1.0,36,ok,1,mid50,beat_mask_width,101,0.0,True,0.15,64
2,160,1,,,0.0,direct,lazaro-ros,3,1,2,0,7,0,,010_beat_mask_width_high80_160_c5e87b1b9520,10,1.0,1.0,36,ok,1,high80,beat_mask_width,160,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,4,1,2,0,7,0,,011_compression_prompt_low20_4_2cf4193d3992,11,1.0,1.0,36,ok,1,low20,compression_prompt,4,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,7,1,2,0,7,0,,012_compression_prompt_mid50_7_4e77dd27203e,12,1.0,1.0,36,ok,1,mid50,compression_prompt,7,0.0,True,0.15,64
2,0,1,,,0.0,direct,lazaro-ros,11,1,2,0,7,0,,013_compression_prompt_high80_11_4c194e0e0514,13,1.0,1.0,36,ok,1,high80,compression_prompt,11,0.0,True,0.15,64
