batch_size,beat_mask_ms,chunk_count,chunk_seconds,crossfade_seconds,dropout,join_method,model_choice,n_mask_codebooks,num_feedback_steps,num_outputs,onset_mask_width,periodic_p,pitch_shift_amt,preset,run_id,run_number,sample_cutoff,sampletemp,sampling_steps,status,stretch_factor,sweep_label,sweep_param,sweep_value,top_p,typical_filtering,typical_mass,typical_min_tokens
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,001_baseline_default_default_28a995ff41ce,1,1.0,1.0,36,ok,1,default,baseline,default,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,3,0,,002_periodic_prompt_low20_3_e8097ceccac1,2,1.0,1.0,36,ok,1,low20,periodic_prompt,3,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,6,0,,003_periodic_prompt_mid50_6_4976614e37dc,3,1.0,1.0,36,ok,1,mid50,periodic_prompt,6,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,10,0,,004_periodic_prompt_high80_10_4139f65c160c,4,1.0,1.0,36,ok,1,high80,periodic_prompt,10,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,20,7,0,,005_onset_mask_width_low20_20_ed873ac51873,5,1.0,1.0,36,ok,1,low20,onset_mask_width,20,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,50,7,0,,006_onset_mask_width_mid50_50_0aecd481143b,6,1.0,1.0,36,ok,1,mid50,onset_mask_width,50,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,80,7,0,,007_onset_mask_width_high80_80_b6266df68c3a,7,1.0,1.0,36,ok,1,high80,onset_mask_width,80,0.0,True,0.15,64
2,41,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,008_beat_mask_width_low20_41_a2b3e464b5c5,8,1.0,1.0,36,ok,1,low20,beat_mask_width,41,0.0,True,0.15,64
2,101,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,009_beat_mask_width_mid50_101_962dc699865d,9,1.0,1.0,36,ok,1,mid50,beat_mask_width,101,0.0,True,0.15,64
2,160,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,010_beat_mask_width_high80_160_15b29c380f5d,10,1.0,1.0,36,ok,1,high80,beat_mask_width,160,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,4,1,2,0,7,0,,011_compression_prompt_low20_4_d1bd44bd9326,11,1.0,1.0,36,ok,1,low20,compression_prompt,4,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,7,1,2,0,7,0,,012_compression_prompt_mid50_7_a2c87a00ba10,12,1.0,1.0,36,ok,1,mid50,compression_prompt,7,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,11,1,2,0,7,0,,013_compression_prompt_high80_11_59878ef74025,13,1.0,1.0,36,ok,1,high80,compression_prompt,11,0.0,True,0.15,64
2,0,1,,,0.2,direct,sax-new,3,1,2,0,7,0,,014_mask_dropout_low20_0p2_abf68d2719c2,14,1.0,1.0,36,ok,1,low20,mask_dropout,0.2,0.0,True,0.15,64
2,0,1,,,0.5,direct,sax-new,3,1,2,0,7,0,,015_mask_dropout_mid50_0p5_25b956df4072,15,1.0,1.0,36,ok,1,mid50,mask_dropout,0.5,0.0,True,0.15,64
2,0,1,,,0.8,direct,sax-new,3,1,2,0,7,0,,016_mask_dropout_high80_0p8_aa64779e72e4,16,1.0,1.0,36,ok,1,high80,mask_dropout,0.8,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,2,2,0,7,0,,017_feedback_steps_low20_2_2895531898a2,17,1.0,1.0,36,ok,1,low20,feedback_steps,2,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,5,2,0,7,0,,018_feedback_steps_mid50_5_21009e630556,18,1.0,1.0,36,ok,1,mid50,feedback_steps,5,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,7,2,0,7,0,,019_feedback_steps_high80_7_7e874d6bb562,19,1.0,1.0,36,ok,1,high80,feedback_steps,7,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,4,1,2,0,5,0,small_variation,020_preset_small_variation_small_variation_680b79a25d7e,20,1.0,1.0,36,ok,1,small_variation,preset,small_variation,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,4,1,2,0,7,0,medium_variation,021_preset_medium_variation_medium_variation_62c0629400fb,21,1.0,1.0,36,ok,1,medium_variation,preset,medium_variation,0.0,True,0.15,64
2,0,1,,,0.2,direct,sax-new,4,1,2,0,13,0,large_variation,022_preset_large_variation_large_variation_4ed95836d5fd,22,1.0,1.0,36,ok,1,large_variation,preset,large_variation,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,-7,,023_pitch_shift_amount_low20_neg7_cce481d2954e,23,1.0,1.0,36,ok,1,low20,pitch_shift_amount,-7,0.0,True,0.15,64
2,0,1,,,0.0,direct,sax-new,3,1,2,0,7,0,,024_pitch_shift_amount_mid50_0_28a995ff41ce,24,1.0,1.0,36,ok,1,mid50,pitch_shift_amount,0,0.0,True,0.15,64
